question_set,variant,n,route_change_rate,brier,delta_brier_vs_base,log_score,delta_log_vs_base
2025-11-09-llm,hist_coverage_plus_0.10,1032,0.0,0.177313999258442,0.0,0.5193549843237196,0.0
2025-11-09-llm,market_sharpness_minus_0.05,1032,0.011627906976744186,0.17725425250772747,-5.974675071451774e-05,0.5188372941396292,-0.0005176901840904247
2025-11-09-llm,market_sharpness_plus_0.05,1032,0.046511627906976744,0.1773564126768645,4.241341842251001e-05,0.5201229243836987,0.0007679400599790442
2025-11-09-llm,prior_sharpness_minus_0.06,1032,0.0,0.177313999258442,0.0,0.5193549843237196,0.0
2025-11-09-llm,prior_sharpness_plus_0.06,1032,0.0,0.177313999258442,0.0,0.5193549843237196,0.0
2025-11-09-llm,source_prior_minus_0.06,1032,0.1937984496124031,0.1811565787486311,0.0038425794901890964,0.527202573319414,0.007847588995694377
2025-11-09-llm,source_prior_plus_0.06,1032,0.0,0.177313999258442,0.0,0.5193549843237196,0.0
2025-11-09-llm,noisy_strength_minus_0.05,1032,0.14631782945736435,0.17706488100237278,-0.000249118256069214,0.5185853198773889,-0.0007696644463307534
2025-11-09-llm,noisy_strength_plus_0.05,1032,0.0,0.177313999258442,0.0,0.5193549843237196,0.0
2025-11-09-llm,horizon_150,1032,0.08527131782945736,0.18108817799259355,0.003774178734151562,0.5270564175865788,0.007701433262859214
2025-11-09-llm,horizon_9999,1032,0.0,0.177313999258442,0.0,0.5193549843237196,0.0
2025-11-09-llm,search_enabled_low,1032,0.09689922480620156,0.1806297380438076,0.0033157387853656184,0.5261867663750359,0.006831782051316293
2025-11-23-llm,base,1065,0.0,0.18693032841879978,0.0,0.5448364750513328,0.0
2025-11-23-llm,hist_coverage_minus_0.10,1065,0.0,0.18693032841879978,0.0,0.5448364750513328,0.0
2025-11-23-llm,hist_coverage_plus_0.10,1065,0.0,0.18693032841879978,0.0,0.5448364750513328,0.0
2025-11-23-llm,market_sharpness_minus_0.05,1065,0.009389671361502348,0.1869814615671733,5.113314837351668e-05,0.5451726320461182,0.00033615699478539707
2025-11-23-llm,market_sharpness_plus_0.05,1065,0.05539906103286385,0.186945152329137,1.4823910337219415e-05,0.5448721221711763,3.5647119843496e-05
2025-11-23-llm,prior_sharpness_minus_0.06,1065,0.0,0.18693032841879978,0.0,0.5448364750513328,0.0
2025-11-23-llm,prior_sharpness_plus_0.06,1065,0.0,0.18693032841879978,0.0,0.5448364750513328,0.0
2025-11-23-llm,source_prior_minus_0.06,1065,0.0,0.18693032841879978,0.0,0.5448364750513328,0.0
2025-11-23-llm,source_prior_plus_0.06,1065,0.0,0.18693032841879978,0.0,0.5448364750513328,0.0
2025-11-23-llm,noisy_strength_minus_0.05,1065,0.18028169014084508,0.19945671068678197,0.012526382267982195,0.5712924969470629,0.026456021895730042
2025-11-23-llm,noisy_strength_plus_0.05,1065,0.0,0.18693032841879978,0.0,0.5448364750513328,0.0
2025-11-23-llm,horizon_150,1065,0.13615023474178403,0.18874802155362486,0.0018176931348250769,0.5485883250807803,0.0037518500294474455
2025-11-23-llm,horizon_9999,1065,0.0,0.18693032841879978,0.0,0.5448364750513328,0.0
2025-11-23-llm,search_enabled_low,1065,0.0,0.18693032841879978,0.0,0.5448364750513328,0.0
2025-12-07-llm,base,1054,0.0,0.188019519987633,0.0,0.5448634592123454,0.0
2025-12-07-llm,hist_coverage_minus_0.10,1054,0.0,0.188019519987633,0.0,0.5448634592123454,0.0
2025-12-07-llm,hist_coverage_plus_0.10,1054,0.0,0.188019519987633,0.0,0.5448634592123454,0.0
2025-12-07-llm,market_sharpness_minus_0.05,1054,0.009487666034155597,0.1880589098699869,3.938988235391294e-05,0.54522960483944,0.0003661456270946939
2025-12-07-llm,market_sharpness_plus_0.05,1054,0.05787476280834915,0.18796266128166642,-5.685870596658371e-05,0.5437647379619036,-0.0010987212504417476
2025-12-07-llm,prior_sharpness_minus_0.06,1054,0.0,0.188019519987633,0.0,0.5448634592123454,0.0
2025-12-07-llm,prior_sharpness_plus_0.06,1054,0.0,0.188019519987633,0.0,0.5448634592123454,0.0
2025-12-07-llm,source_prior_minus_0.06,1054,0.0,0.188019519987633,0.0,0.5448634592123454,0.0
2025-12-07-llm,source_prior_plus_0.06,1054,0.0,0.188019519987633,0.0,0.5448634592123454,0.0
2025-12-07-llm,noisy_strength_minus_0.05,1054,0.0,0.188019519987633,0.0,0.5448634592123454,0.0
2025-12-07-llm,noisy_strength_plus_0.05,1054,0.0,0.188019519987633,0.0,0.5448634592123454,0.0
2025-12-07-llm,horizon_150,1054,0.1347248576850095,0.1922204280201459,0.004200908032512912,0.5534596779495354,0.008596218737190076
2025-12-07-llm,horizon_9999,1054,0.0,0.188019519987633,0.0,0.5448634592123454,0.0
